,,,,
,,,,
,,,,
,,,,
,,,,
Section : Fournitures de bureau 23/24,,,,
,,,,
,,,,
Crème minicure pédicure ,0,0,0,0
Bonêt de mêche,0,0,0,0
Tablier astral  (Cape),1,0,1,0
Mannequins,0,0,0,0
,,,,
Pistorio,,,,
Désignation ,Report,Entrée,Sortie,Stock
Fadae Maths N2,0,1,1,0
Mofide /nachate ailmi N2,0,1,1,0
Momtaze Education ISLAMIQUE N2,0,1,1,0
Mon livre en langue arabe N2,0,1,1,0
Mokhtar en Éducation Artistique N2,0,1,1,0
Mon oasis dans les activités de langue arabe,0,1,1,0
Mon apprentissage en français CE1,0,1,1,0
Mes apprentissage en français N6,0,13,13,0
Mon cahier d'ecriture  CE1,0,1,1,0
 Manare en langue arabe6°,0,17,17,0
Paquet de 20 Doubles Feuille,0,1,1,1
Cahier de 196 pages  ,0,50,50,0
Cahier de 100 feuilles,0,1,1,0
Cahier de 50 feuilles,0,5,5,0
Cahier de 96 pages F 17*22cm ,71,0,20,51
Cahier de 96 pages Travaux Pratique PM 17*22cm sans spiral,0,10,10,0
Cahier de 96 pages Travaux Pratique GF 17*22cm sans spiral,0,1,1,0
Cahier de 48 pages,sans spiral grands carreaux ,0,60,60
Cahier de 200 feuilles,0,2,2,0
Cahier de 200 feuilles GM,0,1,1,0
Cahier de 150 feuilles,0,1,1,0
Couvertures vert/PM,0,3,2,1
Couvertures  jaune/PM,0,14,14,0
Couvertures blanche/PM,0,21,21,0
Couvertures bleu foncé/PM,0,3,3,0
Couvertures noire/PM,0,20,20,0
Couvertures Rose/PM,0,4,4,0
Couvertures Orange/PM,0,1,1,0
Couvertures Rouge/PM,0,2,2,0
Couvertures Violet/PM,0,20,20,0
Couvertures Violet/GM,0,1,1,0
Cartables,84,0,20,64
Stylo vert,105,0,20,85
Stylo bleu,106,0,20,86
Crayon Hb 2 ,309,0,20,289
Carnet,0,1,1,0
Ardoise mangitique,0,1,1,0
